Title,Year,Rating,Votes,Runtime(min),Genres_x,Overview,Director_x,Actors,RT_CriticScore,RT_AudienceScore,Genres_y,Director_y,Runtime_x,RT_Link,Metascore,UserScore,Genres,Director,Runtime_y
12 angry men,1957,8.548,9071.0,97.0,Drama,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman",100.0,97.0,drama,Sidney Lumet,1h 35m,http://www.rottentomatoes.com/m/1000013_12_angry_men,97.0,92.0,"Crime,Drama",Sidney Lumet,96.0
12 angry men,1957,8.548,9071.0,97.0,Drama,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman",100.0,97.0,drama,Sidney Lumet,1h 35m,http://www.rottentomatoes.com/m/1000013_12_angry_men,97.0,92.0,"Crime,Drama",Sidney Lumet,96.0
12 years a slave,2013,7.936,11415.0,134.0,"Drama, History","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",Steve McQueen,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano",,,,,,,96.0,80.0,"Biography,Drama,History",Steve McQueen,134.0
1917,2019,8.0,12698.0,119.0,"War, History, Thriller, Drama","At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",Sam Mendes,"George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden",,,,,,,,,,,
20 feet from stardom,2013,,,,,,,,99.0,82.0,documentary,Morgan Neville,1h 30m,http://www.rottentomatoes.com/m/20_feet_from_stardom,,,,,
20 feet from stardom,2013,,,,,,,,99.0,82.0,documentary,Morgan Neville,1h 30m,http://www.rottentomatoes.com/m/20_feet_from_stardom,,,,,
2001: a space odyssey,1968,8.064,11780.0,149.0,"Science Fiction, Mystery, Adventure","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain, Daniel Richter",,,,,,,,,,,
20th century girl,2022,8.18,723.0,119.0,"Romance, Drama","In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.",Bang Woo-ri,"Kim You-jung, Byeon Woo-seok, Park Jung-woo, Roh Yoon-seo, Kim Sung-kyung",,,,,,,,,,,
3 idiots,2009,7.999,2454.0,171.0,"Drama, Comedy","Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi, Kareena Kapoor Khan, Boman Irani",,,,,,,,,,,
32 sounds,2023,,,,,,,,,,,,,,90.0,0.0,Documentary,Sam Green,97.0
35 shots of rum,2009,,,,,,,,,,,,,,92.0,70.0,Drama,Claire Denis,100.0
4 little girls,1997,,,,,,,,,,,,,,88.0,74.0,"Documentary,History",Spike Lee,102.0
"4 months, 3 weeks and 2 days",2008,,,,,,,,,,,,,,97.0,80.0,Drama,Cristian Mungiu,113.0
45 years,2015,,,,,,,,,,,,,,94.0,73.0,"Drama,Romance",Andrew Haigh,95.0
56 up,2012,,,,,,,,99.0,76.0,documentary,"Michael Apted, Paul Almond",2h 23m,http://www.rottentomatoes.com/m/56_up,,,,,
56 up,2012,,,,,,,,99.0,76.0,documentary,"Michael Apted, Paul Almond",2h 23m,http://www.rottentomatoes.com/m/56_up,,,,,
63 up,2019,,,,,,,,,,,,,,89.0,72.0,"Documentary,Biography",Michael Apted,180.0
8 1/2,1963,,,,,,,,98.0,92.0,fantasy,Federico Fellini,2h 15m,http://www.rottentomatoes.com/m/8-12,,,,,
8 1/2,1963,,,,,,,,98.0,92.0,fantasy,Federico Fellini,2h 15m,http://www.rottentomatoes.com/m/8-12,,,,,
8½,1963,8.1,2333.0,139.0,Drama,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",Federico Fellini,"Marcello Mastroianni, Anouk Aimée, Sandra Milo, Claudia Cardinale, Rossella Falk",,,,,,,93.0,81.0,Drama,Federico Fellini,138.0
a beautiful mind,2001,7.856,10413.0,135.0,"Drama, Romance","From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful and harrowing journey of self-discovery.",Ron Howard,"Russell Crowe, Jennifer Connelly, Ed Harris, Paul Bettany, Christopher Plummer",,,,,,,,,,,
a bread factory part one: for the sake of gold,2018,,,,,,,,,,,,,,91.0,77.0,"Comedy,Drama",Patrick Wang,122.0
a bread factory part two: walk with me a while,2018,,,,,,,,,,,,,,91.0,83.0,"Comedy,Drama",Patrick Wang,120.0
a brighter summer day,1991,8.307,335.0,237.0,"Crime, Drama, Romance","A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",Edward Yang,"Chang Chen, Lisa Yang, Chang Kuo-Chu, Elaine Jin Yan-Ling, Chuan Wang",,,,,,,,,,,
a bronx tale,1993,7.87,2585.0,121.0,"Drama, Crime","Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",Robert De Niro,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Taral Hicks",,,,,,,,,,,
a clockwork orange,1971,8.188,13121.0,137.0,"Science Fiction, Crime","In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Carl Duering, Michael Bates, Warren Clarke",,,,,,,,,,,
a dog's journey,2019,8.058,1543.0,109.0,"Family, Adventure, Drama",A dog finds the meaning of his own existence through the lives of the humans he meets.,Gail Mancuso,"Marg Helgenberger, Betty Gilpin, Henry Lau, Kathryn Prescott, Dennis Quaid",,,,,,,,,,,
a dog's will,2000,8.417,1150.0,104.0,"Comedy, Drama, Fantasy","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga, Diogo Vilela",,,,,,,,,,,
a film unfinished,2010,,,,,,,,,,,,,,88.0,72.0,"Documentary,Drama,History",Yael Hersonski,88.0
a fistful of dollars,1964,,,,,,,,98.0,91.0,western,Sergio Leone,1h 36m,http://www.rottentomatoes.com/m/fistful_of_dollars,,,,,
